coordination,base_planner,problem_id,difficulty,trial_seed,success,planner_solved,audit_passed,planning_time_seconds,path_makespan_seconds,path_mean_agent_time_seconds,path_cost,tree_nodes,high_level_nodes,iterations,checked_waypoints,error
prioritized,flow,0,easy,2026082207,False,False,False,29.99701400000049,,,,1782,0,2049,55738,
prioritized,flow,0,easy,2026082208,False,False,False,30.024900300002628,,,,1519,0,1807,47726,
prioritized,flow,0,easy,2026082209,False,False,False,30.001288600000407,,,,1391,0,1605,45286,
prioritized,flow,0,easy,2026082210,True,True,True,4.3611630000013974,1.58,0.9650000000000001,3.8600000000000003,134,0,129,5031,
prioritized,flow,0,easy,2026082211,True,True,True,27.2785530000001,0.88,0.665,2.66,1359,0,1662,49308,
prioritized,flow,0,easy,2026082212,True,True,True,18.64130849999856,2.24,1.145,4.580000000000001,859,0,875,29385,
prioritized,flow,0,easy,2026082213,True,True,True,11.634076799997274,1.58,0.925,3.7,464,0,471,17923,
prioritized,flow,0,easy,2026082214,True,True,True,10.611068700000033,1.0,0.55,2.2,388,0,389,15435,
prioritized,flow,0,easy,2026082215,True,True,True,15.214080800000374,0.98,0.7799999999999999,3.1199999999999997,1024,0,1078,34812,
prioritized,flow,0,easy,2026082216,False,False,False,30.005305300001055,,,,1292,0,1594,43090,
prioritized,flow,0,easy,2026082217,True,True,True,4.4275352000004204,1.26,0.605,2.42,174,0,171,6651,
prioritized,flow,0,easy,2026082218,True,True,True,16.55538660000093,1.08,0.61,2.44,595,0,598,23391,
prioritized,flow,0,easy,2026082219,False,False,False,30.013998000002175,,,,1343,0,1629,43879,
prioritized,flow,1,medium,2026082200,False,False,False,30.000223999999434,,,,1242,0,1352,48303,
prioritized,flow,1,medium,2026082201,True,True,True,4.885224100002233,7.08,4.45,17.8,82,0,78,4740,
prioritized,flow,1,medium,2026082202,False,False,False,29.996254900001077,,,,1279,0,1313,45708,
prioritized,flow,1,medium,2026082203,True,True,True,12.32136299999911,16.28,7.9350000000000005,31.74,412,0,489,16665,
prioritized,flow,1,medium,2026082204,False,False,False,30.009456199997658,,,,1021,0,1193,39763,
prioritized,flow,1,medium,2026082205,False,False,False,30.029774599999655,,,,2227,0,3027,70739,
prioritized,flow,1,medium,2026082206,False,False,False,30.029926399998658,,,,1610,0,1765,52231,
prioritized,flow,1,medium,2026082207,False,False,False,29.99671500000113,,,,1232,0,1569,50185,
prioritized,flow,1,medium,2026082208,False,False,False,30.030827400001726,,,,1373,0,1486,51106,
prioritized,flow,1,medium,2026082209,False,False,False,29.99732740000036,,,,1148,0,1422,41552,
prioritized,flow,1,medium,2026082210,False,False,False,30.00157720000061,,,,1295,0,1536,47591,
prioritized,flow,1,medium,2026082211,False,False,False,29.996005500001047,,,,1387,0,1483,48043,
prioritized,flow,1,medium,2026082212,False,False,False,30.01410560000295,,,,596,0,869,38834,
prioritized,flow,1,medium,2026082213,False,False,False,30.00074450000102,,,,1002,0,1190,36746,
prioritized,flow,1,medium,2026082214,False,False,False,30.00201229999948,,,,1693,0,1965,56493,
prioritized,flow,1,medium,2026082215,False,False,False,29.992189799999323,,,,2221,0,3144,69970,
prioritized,flow,1,medium,2026082216,False,False,False,29.99822359999962,,,,1847,0,2204,61723,
